recency,frequency,monetary_value
325,1,77183.6
2,182,4310.000000000001
75,31,1797.24
18,73,1757.5500000000002
310,17,334.40000000000003
36,85,2506.0400000000004
204,4,89.0
232,58,1079.3999999999999
214,13,459.4
22,59,2811.43
33,131,6207.67
1,19,1168.06
57,245,6310.030000000001
52,129,2662.06
287,10,189.89999999999998
3,266,5226.23
109,23,552.0
7,85,1313.1000000000001
291,22,641.3799999999999
4,11,168.89999999999998
51,166,3541.94
44,63,1887.96
71,52,1298.0400000000002
311,14,364.6
25,33,742.93
10,17,457.5
315,77,1628.12
129,219,4008.62
81,40,852.24
21,104,2724.8100000000004
4,87,1845.3100000000004
184,99,1850.5600000000002
28,27,585.2700000000001
337,10,401.9
15,100,2780.6600000000003
79,32,549.84
21,93,439.66
72,64,1582.6000000000001
63,27,1272.48
19,156,3018.63
35,126,2409.9000000000005
45,85,1635.6599999999999
119,59,1108.65
303,5,84.3
323,11,225.6
49,5,427.7
148,54,1710.3900000000003
22,105,3415.3
49,77,1708.1199999999997
32,105,2888.55
78,109,11072.67
308,26,693.3299999999999
74,61,1226.88
66,38,758.1
217,18,562.41
24,716,124914.53
3,192,3649.1000000000004
112,34,668.58
63,29,600.3900000000001
15,45,807.0400000000001
95,39,803.5599999999998
0,125,1859.3100000000002
162,30,1760.9599999999996
78,36,777.1999999999999
194,30,582.73
21,31,825.8
25,294,7956.46
9,97,3750.4
43,11,256.4
35,235,6419.950000000001
42,108,5059.319999999999
0,420,13375.87
84,50,806.14
79,36,7829.89
99,16,509.01000000000005
1,200,4951.41
14,98,2906.8500000000004
366,11,173.55
3,12,172.06
21,177,5005.46
22,4,133.4
57,58,1002.3100000000001
243,26,476.49
44,22,449.4500000000001
22,191,4067.2900000000004
156,8,197.88
10,354,9035.52
16,22,430.57
134,43,707.0899999999999
56,15,3528.34
73,90,2466.8599999999997
44,125,3181.04
66,63,2363.23
71,38,947.4
94,35,826.88
18,62,1189.5900000000001
53,83,1344.7800000000002
10,29,1212.0499999999997
17,47,742.19
187,38,729.54
2,459,19788.65
32,339,6572.110000000001
29,167,3928.05
17,422,7324.089999999999
53,36,723.3799999999999
15,233,6816.42
22,300,13219.740000000002
3,36,680.9900000000001
11,31,527.2
28,154,3281.6299999999997
22,216,5579.82
17,75,2484.98
32,343,4527.32
9,55,1298.6600000000003
336,15,334.92999999999995
5,245,5417.93
38,26,460.40000000000003
63,20,263.21
165,22,433.74
15,77,1246.1
81,14,1043.1
21,23,403.7
23,61,4257.820000000001
336,149,2169.3900000000003
95,147,3723.87
18,9,482.04999999999995
232,23,73.50000000000001
134,22,1304.81
26,68,397.88
284,7,176.5
142,33,982.5699999999999
66,31,132.18
112,35,612.2900000000001
267,51,1017.6800000000001
353,16,383.70000000000005
77,26,1312.06
28,279,2481.6
0,124,2056.89
63,17,330.84
79,152,2634.26
142,38,599.68
39,12,192.72000000000003
19,106,1789.77
9,144,4485.719999999999
0,71,1316.6600000000003
81,18,348.71000000000004
9,92,1933.4800000000002
59,66,1662.28
14,17,125.22
30,16,349.83000000000004
130,63,1089.18
91,34,716.35
43,261,12601.830000000002
29,21,363.95
22,273,5568.35
19,478,13400.240000000002
29,52,981.1800000000002
36,19,372.70000000000005
75,50,1000.39
46,69,1161.5
197,8,207.79999999999998
166,5,95.19999999999999
79,57,964.83
357,10,168.0
38,20,437.81999999999994
8,191,3692.2799999999997
50,119,599.56
16,33,11990.96
7,11,269.96000000000004
310,21,561.7099999999999
5,105,2134.01
302,16,238.85
8,168,3781.74
261,21,456.90000000000003
288,9,145.92000000000002
86,19,351.65
22,446,9401.28
2,188,4124.6900000000005
39,34,519.61
8,60,1020.42
227,28,160.54
315,11,218.45000000000002
35,88,1315.83
35,146,626.5999999999999
21,114,2794.5099999999998
78,29,440.41999999999996
246,24,415.70000000000005
39,15,197.70999999999998
238,22,511.3599999999999
2,247,7281.379999999999
3,96,2338.1500000000005
234,87,2040.0999999999997
17,11,196.94000000000003
7,4,144.0
39,10,214.89999999999998
28,35,646.6800000000001
211,68,9864.26
317,26,452.84999999999997
92,18,437.6
